Tid,Task Name,Duration,Start,End,Slack,Cost
1,Start order,0,2025-06-30,2025-06-30,0,0.00
2,drilling,4,2025-06-30,2025-07-04,0,11600.00
3,OSB placement,2,2025-07-04,2025-07-06,121,3200.00
4,Floor iron and electricity,5,2025-07-04,2025-07-09,0,8000.00
5,Eng approval,2,2025-07-09,2025-07-11,0,3200.00
6,Floor cement,1,2025-07-11,2025-07-12,0,3700.00
7,Walls and Mamad,5,2025-07-12,2025-07-17,0,16000.00
8,Windos open,3,2025-08-01,2025-08-04,103,8000.00
9,Wall closing,4,2026-01-26,2026-01-30,103,12000.00
10,Mamad walls and electricity preparation,7,2025-07-17,2025-07-24,0,22400.00
11,Walls 3.05,1,2025-07-24,2025-07-25,0,3700.00
12,Second floor preparation,3,2025-07-25,2025-07-28,0,4800.00
13,Ceiling iron,2,2025-07-28,2025-07-30,0,4800.00
14,Electricity preparation,2,2025-07-30,2025-08-01,0,6400.00
15,Eng approval,1,2025-08-01,2025-08-02,0,1300.00
16,Second floor cement,1,2025-08-04,2025-08-05,0,3700.00
17,Second floor walls,5,2025-08-05,2025-08-10,0,8000.00
18,Blocks,3,2025-08-10,2025-08-13,0,4800.00
19,Cement approval,1,2025-08-13,2025-08-14,0,1600.00
20,Wall cement,2,2025-08-14,2025-08-16,0,2600.00
21,Second floor walls,9,2025-08-19,2025-08-28,0,28800.00
22,AC preparations,5,2025-08-28,2025-09-02,0,14400.00
23,Eng approval,2,2025-09-02,2025-09-04,66,2600.00
24,Service floor cement,5,2026-01-05,2026-01-10,57,14400.00
25,External walls,5,2025-09-02,2025-09-07,0,14400.00
26,First floor ceiling dismental,6,2026-01-16,2026-01-22,62,19200.00
27,Second floor ceiling dismental,5,2025-08-14,2025-08-19,15,14400.00
28,General cleaning,6,2026-01-10,2026-01-16,57,19200.00
29,First block,5,2025-09-07,2025-09-12,15,14400.00
30,First floor blocks,3,2025-09-12,2025-09-15,71,3900.00
31,Electricity marking with family,4,2026-01-22,2026-01-26,71,12000.00
32,Door preparation,13,2025-09-12,2025-09-25,0,40000.00
33,Second floor-first block,5,2025-09-25,2025-09-30,0,16000.00
34,Second floor-walls,29,2025-10-21,2025-11-19,21,92000.00
35,Electricity marking2,7,2025-12-27,2026-01-03,38,25900.00
36,Sanitary preparations,2,2026-01-03,2026-01-05,48,6400.00
37,Sanitary preparations second floor,4,2025-09-30,2025-10-04,0,12800.00
38,Plaster internal,5,2025-10-04,2025-10-09,0,14400.00
39,Roof placement,2,2025-10-11,2025-10-13,7,3200.00
40,Insulation,2,2025-10-09,2025-10-11,7,5800.00
41,Wood galery,3,2025-10-18,2025-10-21,29,4800.00
42,Roof finish,4,2025-10-14,2025-10-18,28,6400.00
43,External plaster,2,2025-10-13,2025-10-15,7,3200.00
44,Balcony insulation,4,2025-10-15,2025-10-19,7,6400.00
45,Internal plaster finishing,5,2025-10-09,2025-10-14,0,8000.00
46,flooring,14,2025-12-10,2025-12-24,7,51800.00
47,Plastering,10,2025-10-14,2025-10-24,0,13000.00
48,Paint 1 hand,1,2025-12-24,2025-12-25,7,2900.00
49,External plaster,2,2025-11-19,2025-11-21,0,3200.00
50,Aluminum installation,2,2025-12-25,2025-12-27,7,3200.00
51,pergola,5,2025-11-21,2025-11-26,0,8000.00
52,Rails,2,2025-12-27,2025-12-29,7,1600.00
53,External development,14,2025-11-26,2025-12-10,0,22400.00
54,Delivery,0,2026-01-03,2026-01-03,0,0.00
